id,title,date,location
1,"Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard, Profi Latin RL - Felnőtt C Standard 2023.12.09",2023.12.09,SC Csongrád Sághy Mihály Technikum
2,VII. Eraklin Kupa - Ifjúsági E Standard 2017.12.09,2017.12.09,Nagykanizsa
3,"Felnőtt -Ifjúsági Latin, Junior Standard, Senior Latin Ranglista és Klubközi Táncverseny - RL Junior Standard 2015.06.06",2015.06.06,Hajdúböszörmény
4,"X. Forma Kupa és C Országos Bajnokság,U21 Standard és Latin Magyar Bajnokság - Felnőtt B LAT 2016.12.03",2016.12.03,Algyő
5,Kelet-Magyarország Területi Bajnokság - TB Senior II D Standard 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
6,II. Tavaszváró Táncverseny - Felnőtt E LAT 2018.04.07,2018.04.07,Nyíregyháza
7,"FLN IFI SEN Latin, JUN Standard, Profi Standard Ranglista és Klubközi táncverseny - Junior II C LAT 2021.06.05",2021.06.05,4080 Hajdúnánás Hunyadi u. 9
8,Kelet Magyarország Területi Bajnokság - TB Gyermek I E Standard 2019.03.02,2019.03.02,Kunszentmárton
9,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - OB Felnőtt E Standard 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
10,XII. Kistelek Open - Ifjúsági B LAT 2015.09.19,2015.09.19,Kistelek
11,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Junior I C LAT 2017.03.25",2017.03.25,Szentlőrinc
12,XVIII.Kistelek Open - Szóló Ifjúsági E Standard 2022.09.17,2022.09.17,"6760. Kistelek, Kossuth u.5."
13,"E OB, U21 10 Tánc MB és Klubközi Verseny - OB Ifjúsági E LAT 2024.09.07",2024.09.07,"Csömöri Sportcsarnok 2141. Csömör, Major út 7-9"
14,C Országos Bajnokság - OB Felnőtt C LAT 2018.11.17,2018.11.17,Pécs
15,XIII. Kistelek Open - Junior I C Standard 2016.09.24,2016.09.24,Kistelek
16,iDanceFesztivál2015 - Junior II D Standard 2015.11.15,2015.11.15,Pécs
17,Botafogo Kupa - C Országos Bajnokság - OB Ifjúsági C Standard 2021.11.20,2021.11.20,Üllői Sport és Szabadidő Központ
18,Szőke Tisza 2018. WDSF INTERNATIONAL OPEN Nemzetközi Táncverseny - OPEN STANDARD SENIOR III 2018.06.16,2018.06.16,Szeged
19,"WDSF PD Latin Világbajnokság, WDSF Youth Open, TáncSport Magyar Bajnokságok - MB Senior III  Standard 2024.03.23",2024.03.23,"Ludovika Aréna, 1089 Diószegi Sámuel u 25"
20,SAVARIA Nemzetközi Táncverseny - Szóló Junior I. E LAT 2024.12.14,2024.12.14,"9700 Szombathely, Rohonci út 3"
21,IV. Press Dance Táncverseny - Junior II D LAT 2016.03.14,2016.03.14,Zalaegerszeg
22,"C és B Tíztánc, E Hattánc, D Nyolctánc OB és Klubközi Táncverseny - Gyermek II E LAT 2022.04.09",2022.04.09,7400 Kaposvár Arany János u. 97
23,Szigo Kupa - Felnőtt C LAT 2023.04.01,2023.04.01,"Siklós, Gyűdi út 2"
24,"B, A, S Országos Bajnokság Senior Open Országos Bajnokság - OB Senior I Open Standard 2015.12.05",2015.12.05,Békéscsaba
25,X. Eraklin kupa - Senior I C Standard 2021.10.16,2021.10.16,"8800 Nagykanizsa, Hunyadi u. 18"
26,Balaton Summer Táncverseny - Junior II D Standard 2024.08.10,2024.08.10,"8700 Marcali, Park utca 16"
27,XX. Gála Kupa Klubközi Táncverseny - Felnőtt C LAT 2018.10.21,2018.10.21,Zalaegerszeg
28,C Országos Bajnokság - Felnőtt-Senior III. B Standard 2018.11.17,2018.11.17,Pécs
29,"Tíztánc MB, Nyolctánc MB - Forma kupa - Junior II E Standard 2022.03.19",2022.03.19,Algyői Fehér Ignác Általánmos Iskola Tornacsarnok
30,XV. Hatvan Kupa - Junior I E Standard 2023.05.27,2023.05.27,"3000. Hatvan, Balassi Bálint út 2"
31,Szigo Kupa - Felnőtt C LAT 2018.06.02,2018.06.02,Siklós
32,V. Sundance Kupa C és B Tíztánc OB - Felnőtt C Standard 2024.04.06,2024.04.06,"6500 Baja, Duna utca 33"
33,X. FEKETE SAS KUPA - Junior I D LAT 2015.11.28,2015.11.28,Hódmezővásárhely
34,Ametiszt Kupa - Szóló Gyermek II. C LAT 2024.11.23,2024.11.23,7400 Kaposvár Arany János út 97
35,III. Danza Kupa - Ifjúsági C Standard 2015.04.19,2015.04.19,Budapest
36,"Tíztánc-, Nyolctánc Magyar Bajnokságok - MB Felnőtt  Tíztánc 2025.03.08",2025.03.08,Kiskunmajsa Aréna
37,DanceNet Kupa - Felnőtt D Standard 2022.12.03,2022.12.03,"Csömör, Major út 7-9"
38,XVII. RexTerra Kupa Táncverseny - Ifjúsági C LAT 2023.11.12,2023.11.12,"Kiskunhalas, Kossuth utca 23"
39,"XII FORMA kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista Professzionista Latin Ranglistaverseny - Junior II E Standard 2017.11.12",2017.11.12,Algyő
