id,name,competitionId,falseData
1,"Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard, Profi Latin RL - Felnőtt C Standard 2023.12.09",1,0
2,VII. Eraklin Kupa - Ifjúsági E Standard 2017.12.09,2,0
3,"Felnőtt -Ifjúsági Latin, Junior Standard, Senior Latin Ranglista és Klubközi Táncverseny - RL Junior Standard 2015.06.06",3,0
4,"X. Forma Kupa és C Országos Bajnokság,U21 Standard és Latin Magyar Bajnokság - Felnőtt B LAT 2016.12.03",4,0
5,Kelet-Magyarország Területi Bajnokság - TB Senior II D Standard 2023.02.25,5,0
6,II. Tavaszváró Táncverseny - Felnőtt E LAT 2018.04.07,6,0
7,"FLN IFI SEN Latin, JUN Standard, Profi Standard Ranglista és Klubközi táncverseny - Junior II C LAT 2021.06.05",7,0
8,Kelet Magyarország Területi Bajnokság - TB Gyermek I E Standard 2019.03.02,8,0
9,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - OB Felnőtt E Standard 2023.09.09",9,0
10,XII. Kistelek Open - Ifjúsági B LAT 2015.09.19,10,0
11,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Junior I C LAT 2017.03.25",11,0
12,XVIII.Kistelek Open - Szóló Ifjúsági E Standard 2022.09.17,12,0
13,"E OB, U21 10 Tánc MB és Klubközi Verseny - OB Ifjúsági E LAT 2024.09.07",13,0
14,C Országos Bajnokság - OB Felnőtt C LAT 2018.11.17,14,0
15,XIII. Kistelek Open - Junior I C Standard 2016.09.24,15,0
16,iDanceFesztivál2015 - Junior II D Standard 2015.11.15,16,0
17,Botafogo Kupa - C Országos Bajnokság - OB Ifjúsági C Standard 2021.11.20,17,0
18,Szőke Tisza 2018. WDSF INTERNATIONAL OPEN Nemzetközi Táncverseny - OPEN STANDARD SENIOR III 2018.06.16,18,0
19,"WDSF PD Latin Világbajnokság, WDSF Youth Open, TáncSport Magyar Bajnokságok - MB Senior III  Standard 2024.03.23",19,0
20,SAVARIA Nemzetközi Táncverseny - Szóló Junior I. E LAT 2024.12.14,20,0
21,IV. Press Dance Táncverseny - Junior II D LAT 2016.03.14,21,0
22,"C és B Tíztánc, E Hattánc, D Nyolctánc OB és Klubközi Táncverseny - Gyermek II E LAT 2022.04.09",22,0
23,Szigo Kupa - Felnőtt C LAT 2023.04.01,23,0
24,"B, A, S Országos Bajnokság Senior Open Országos Bajnokság - OB Senior I Open Standard 2015.12.05",24,0
25,X. Eraklin kupa - Senior I C Standard 2021.10.16,25,0
26,Balaton Summer Táncverseny - Junior II D Standard 2024.08.10,26,0
27,XX. Gála Kupa Klubközi Táncverseny - Felnőtt C LAT 2018.10.21,27,0
28,C Országos Bajnokság - Felnőtt-Senior III. B Standard 2018.11.17,28,0
29,"Tíztánc MB, Nyolctánc MB - Forma kupa - Junior II E Standard 2022.03.19",29,0
30,XV. Hatvan Kupa - Junior I E Standard 2023.05.27,30,0
31,Szigo Kupa - Felnőtt C LAT 2018.06.02,31,0
32,V. Sundance Kupa C és B Tíztánc OB - Felnőtt C Standard 2024.04.06,32,0
33,X. FEKETE SAS KUPA - Junior I D LAT 2015.11.28,33,0
34,Ametiszt Kupa - Szóló Gyermek II. C LAT 2024.11.23,34,0
35,III. Danza Kupa - Ifjúsági C Standard 2015.04.19,35,0
36,"Tíztánc-, Nyolctánc Magyar Bajnokságok - MB Felnőtt  Tíztánc 2025.03.08",36,0
37,DanceNet Kupa - Felnőtt D Standard 2022.12.03,37,0
38,XVII. RexTerra Kupa Táncverseny - Ifjúsági C LAT 2023.11.12,38,0
39,"XII FORMA kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista Professzionista Latin Ranglistaverseny - Junior II E Standard 2017.11.12",39,0
40,XXI. Zánkai Táncfesztivál - Junior I C LAT 2015.08.26,40,0
41,TáncSport Magyar Bajnokságok 2018 - LAT Mix Junior B Liga Formációs Táncok Magyar Bajnoksága 2018.02.03,41,0
42,Balaton Summer Táncverseny - Szóló Junior E LAT 2022.08.14,42,0
43,"II. Salgótarjáni Havanna Kupa - Ifjúsági ""C"" Standard 2014.04.19",43,0
44,MTÁSZ Pest-megyei Régió Bajnokság - TB Ifjúsági B LAT 2018.03.03,44,0
45,Budapesti Területi Bajnokság - TB Felnőtt A LAT 2019.03.02,45,0
46,Szőke Tisza Nemzetközi Táncverseny - Junior II D Standard 2023.06.11,46,0
47,Közép-Magyarország Területi Bajnokság - Senior I Open Standard 2022.02.20,47,0
48,"Felnőtt-Ifjúsági Tíztánc, Junior Standard és Hivatásos Ranglista - Gyerek I. - Nagyon Kezdő - Sta 2014.03.08",48,0
49,-  0000.00.00,49,0
50,"""D"" OB és Klubközi Táncverseny - Ifjúsági B LAT 2020.09.19",50,0
51,XIII. Zala Open Formációs Táncok Magyar Bajnoksága - Formáció Felnőtt A Liga LAT 2021.09.18,51,0
52,"II. Danza Kupa - Junior I. ""E"" Standard 2014.10.11",52,0
53,TáncSport Magyar Bajnokság 2021 - Hungarian Dance Open - ParaDance Senior Ranglista Freestyle 2021.09.25,53,0
54,V. Danza Kupa - Senior I E LAT 2016.05.08,54,0
55,XXV. Gála Kupa - Ifjúsági B LAT 2024.10.20,55,0
56,IV. C&M Kupa - Junior II E STT 2019.11.09,56,0
57,"XIX.Gála Kupa Felnőtt-Ifjúsági Standard,Junior Latin,Senior Standard Ranglistaverseny és Klubközi Táncverseny - Felnőtt C Standard 2018.04.22",57,0
58,"U21 STANDARD MB,U21 LATIN MB és Kűr MB - Felnőtt E LAT 2021.05.15",58,0
59,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság és Klubközi Verseny - Ifjúsági C Standard 2015.03.28",59,0
60,XVI. RexTerra Kupa - Ifjúsági E LAT 2022.11.12,60,0
61,"Felnőtt-Ifjúsági Latin, Junior Tíztánc Ranglista , Professzionista Standard Ranglista és klubközi verseny - Felnőtt E Standard 2016.10.08",61,0
62,"Szőke Tisza 2017. 
OPEN Nemzetközi Táncverseny - Felnőtt E LAT 2017.06.10",62,0
63,"V. Eraklin Kupa, E Országos Bajnokság, U21 Tíztánc Magyar Bajnokság - OB Felnőtt E LAT 2015.10.24",63,0
64,"Lászlóvill Kupa RL, Klubközi Táncverseny - RL Junior  10T 2019.05.18",64,1
65,Balaton Summer Táncverseny - Gyermek II E LAT 2022.08.13,65,0
66,Nyugat- Magyarország Területi Bajnokság - TB Junior I C Standard 2023.02.25,66,0
67,Nyugat- Magyarország Területi Bajnokság - Szóló Junior C LAT 2023.02.25,67,0
68,Kelet-Magyarország Területi Bajnokság - TB Junior II C LAT 2017.03.18,68,0
69,"IX. Gemenc Kupa - Felnőtt ""B"" Standard 2014.11.09",69,0
70,XII. Eraklin Kupa- D Országos Bajnokság - OB Senior IV D Standard 2023.10.07,70,0
71,11. Danza Kupa - Junior II E LAT 2019.04.06,71,0
72,III. Szoldance Kupa - OB Felnőtt E Hattánc 2025.02.08,72,0
73,XII. Kner Kupa- D Országos Bajnokság és Klubközi Táncverseny - Junior II B LAT 2019.10.05,73,0
74,Spirit Kupa C-B Tíztánc Országos Bajnokságok és klubközi verseny - Gyermek II E Standard 2025.03.09,74,0
75,VIII. Kner Kupa- C és B Tíztánc OB és Klubközi Táncverseny - Senior I E LAT 2015.04.11,75,0
76,XII Ametiszt Kupa - Ifjúsági D Standard 2016.10.16,76,0
77,Közép-Magyarország Területi Bajnokság - TB Junior II D LAT 2024.03.03,77,0
78,III. Szoldance Kupa - Junior II C LAT 2025.02.08,78,0
79,"Lászlóvill Kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista és Klubközi Verseny - Senior II D LAT 2017.04.23",79,0
80,XIII. Ritmo Kupa - Junior II C LAT 2016.10.09,80,0
81,XI. Kner Kupa- Klubközi és Szabadidősport Táncverseny - Junior I E LAT 2019.03.24,81,0
82,"B-A-S, Senior Open Osztályos Országos Társastánc Bajnokság - OB Felnőtt A Standard 2022.11.26",82,0
83,I. Gyulai Táncfesztivál - I-D-STT 2019.07.21,83,1
84,-  0000.00.00,84,0
85,-  0000.00.00,85,0
86,Balaton Summer Táncverseny - Felnőtt C Standard 2024.08.09,86,0
87,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Felnőtt E LAT 2016.03.06",87,0
88,"B-A-S, Senior Open OB, III.Nyíri Lajos Emlékverseny - OB Junior I B Standard 2019.12.08",88,0
89,Közép-Magyarország Területi Bajnokság - Junior II D STT 2021.03.07,89,0
90,Közép-Magyarország Területi Bajnokság - Szóló Ifjúsági D LAT 2022.02.20,90,0
91,Kelet-Magyarország Területi Bajnokság - Junior I. - E - Standard 2014.02.22,91,0
92,Kanizsa Kupa - Junior I. Kezdő LAT 2014.09.21,92,0
93,"""D"" OB és Klubközi Táncverseny - OB Junior II D Standard 2020.09.19",93,0
94,"III. FULLDANCE KUPA OPEN FORMÁCIÓS RANGLISTA, RISING STAR STANDARD-LATIN ÉS KLUBKÖZI TÁNCVERSENY - Felnőtt D Standard 2016.04.16",94,0
95,"Felnőtt-Ifi latin, Junior standard, Senior latin, Profi standard - Gyermek II D Standard 2022.04.24",95,0
96,"TáncSport Magyar Bajnokság, C és B Tíztánc Országos Bajnokság - Ifjúsági C LAT 2023.04.15",96,0
97,XXIV.Zánkai Táncfesztivál - Junior I E LAT 2018.08.19,97,0
98,Közép-Magyarország Területi Bajnokság - TB Senior III D Standard 2024.03.03,98,0
99,B-A-S és Senior Open Országos Bajnokság és Klubközi Táncverseny - Szóló Junior II. E Standard 2024.11.30,99,0
100,"C Országos Bajnokság, U21 Standard és Latin Magyar Bajnokság és Klubközi Verseny - OB Junior I C LAT 2015.11.14",100,0
101,XV. RexTerra Kupa - Ifjúsági B Standard 2021.11.13,101,0
102,"E OB, U21 10 Tánc MB és Klubközi Verseny - Szóló Gyermek II. E LAT 2024.09.07",102,0
103,"Felnőtt-Ifjúsági Standard, Junior Latin, Senior Standard Ranglista - Junior II C Standard 2018.11.03",103,0
104,XII. Ritmo Kupa - Junior I E LAT 2015.09.27,104,0
105,XXIII. Gála Kupa Táncverseny és ParaDance Magyar Bajnokság - Felnőtt D Standard 2022.10.02,105,0
106,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Junior I E Standard 2018.04.14,106,0
107,VII. Hatvan Kupa - GYEREK2-Kezdő-LAT Szóló 2015.05.10,107,0
108,Kelet Magyarország Területi Bajnokság - TB Senior II Open Standard 2019.03.02,108,0
109,Balaton Summer Táncverseny - Junior II D Standard 2023.08.12,109,0
110,"Szigo Kupa- Felnőtt-Ifjúsági Tíztánc, Junior Latin és Senior Standard Ranglista- és Klubközi Verseny - Ifjúsági-Felnőtt Tíztánc Ranglista 2015.05.30",110,0
111,Közép-Magyarország TB - TB Ifjúsági D Standard 2025.03.02,111,0
112,"Senior-Felnőtt-Ifjúsági Tíztánc, Profi Latin Ranglista és Klubközi Táncverseny - Junior I C Standard 2023.02.18",112,0
113,"VI. Kner Kupa C és B Tíztánc OB és Klubközi Táncverseny - Gyerek II. ""E"" LAT 2014.04.05",113,0
114,DanceNet Kupa - Felnőtt E Standard 2023.12.17,114,0
115,XIII. Ametiszt Kupa - Junior I D LAT 2017.12.03,115,0
116,Nyugat- Magyarország Területi Bajnokság - TB Ifjúsági E LAT 2018.03.03,116,0
117,-  0000.00.00,117,0
118,Közép-Magyarország TB - TB Senior III C Standard 2025.03.02,118,0
119,Budapesti Területi Bajnokság - TB Junior I C LAT 2019.03.02,119,0
120,Balaton Summer Táncverseny - Felnőtt E Standard 2023.08.11,120,0
121,XXI. Zánkai Táncfesztivál - Gyermek II D LAT 2015.08.24,121,0
122,Balaton Summer Táncverseny - Gyermek II D LAT 2022.08.14,122,0
123,"VII. Forma Kupa - Felnőtt ""D"" Standard 2014.04.12",123,0
124,Ritmo Kupa - C OB és Klubközi Táncverseny - Junior II E LAT 2023.11.04,124,0
125,"XIII. RexTerra Kupa - C Országos Bajnokság, U21 Latin Magyar Bajnokság - Junior I D Standard 2017.11.25",125,0
126,II. Universe Kupa - Felnőtt D Standard 2019.05.04,126,0
127,VII. Hatvan Kupa - Junior II Ifjúsági C Standard 2015.05.10,127,0
128,"I. Szoldance Kupa -Hattánc, Nyolctánc Országos Bajnokság és Klubközi Táncverseny - Felnőtt A LAT 2023.02.11",128,0
129,12. Danza Kupa - Ifjúsági B Tíztánc 2020.03.01,129,0
130,Szigo Kupa - Gyermek I E LAT 2018.06.02,130,0
131,V. Sundance Kupa C és B Tíztánc OB - Szóló Junior II. E LAT 2024.04.06,131,0
132,B-A-S és Senior Open Országos Bajnokság és Klubközi Táncverseny - OB Felnőtt A LAT 2024.11.30,132,0
133,TáncSport Magyar Bajnokság 2022 - Senior I  LAT 2022.03.05,133,0
134,Kelet-Magyarország Területi Bajnokság - Junior II. - D Standard 2014.02.22,134,0
135,"Lászlóvill Kupa Senior-Felnőtt-Ifjúsági Latin, Junior Standard, Profi Standard Ranglista és Klubközi Táncverseny - Ifjúsági E Standard 2023.04.22",135,0
136,Balaton Summer Táncverseny - Ifjúsági D Standard 2024.08.09,136,0
137,TáncSport Magyar Bajnokság 2020 - MB Senior I  Standard 2020.10.04,137,0
138,"ISIS DANCE OPEN-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior 10 Tánc, Professional Latin ranglista - Ifjúsági B LAT 2018.10.27",138,0
139,"Felnőtt - Ifjúsági Standard, Junior Tíztánc és Professzionista Latin Ranglista Táncverseny - Ifjúsági D Standard 2015.12.12",139,0
140,"Felnőtt-Ifjúsági Standard, Junior Latin, Senior Tíztánc Ranglista és Klubközi Táncverseny - Ifjúsági D LAT 2017.10.07",140,0
141,Kelet-Magyarország Területi Bajnokság - TB Junior I C STT 2015.03.07,141,0
