id,name,eventId
1,Döntő,1
2,Döntő,2
3,Döntő,3
4,Elődöntő,4
5,Döntő,4
6,Döntő,5
7,Elődöntő,6
8,Döntő,6
9,Döntő,7
10,Elődöntő,8
11,Döntő,8
12,Elődöntő,9
13,Döntő,9
14,Döntő,10
15,Döntő,11
16,Döntő,12
17,Elődöntő,13
18,Döntő,13
19,1.Forduló,14
20,Elődöntő,14
21,Döntő,14
22,Döntő,15
23,Elődöntő,16
24,Döntő,16
25,6.Forduló,17
26,1.Forduló,18
27,Elődöntő,18
28,Döntő,18
29,Döntő,19
30,Döntő,20
31,1.Forduló,21
32,Elődöntő,21
33,Döntő,21
34,Elődöntő,22
35,Döntő,22
36,1.Forduló,23
37,Elődöntő,23
38,Döntő,23
39,Döntő,24
40,Döntő,25
41,Döntő,26
42,Döntő,27
43,Döntő,28
44,4.Forduló,29
45,Elődöntő,30
46,Döntő,30
47,Elődöntő,31
48,Döntő,31
49,Elődöntő,32
50,Döntő,32
51,Elődöntő,33
52,Döntő,33
53,Döntő,34
54,Elődöntő,35
55,Döntő,35
56,Elődöntő,36
57,Döntő,36
58,Elődöntő,37
59,Döntő,37
60,Elődöntő,38
61,Döntő,38
62,Döntő,39
63,Döntő,40
64,Döntő,41
65,Döntő,42
66,Döntő,43
67,Döntő,44
68,Döntő,45
69,Elődöntő,46
70,Döntő,46
71,6.Forduló,47
72,1.Forduló,48
73,Elődöntő,48
74,Döntő,48
75,Elődöntő,50
76,Döntő,50
77,Döntő,51
78,Elődöntő,52
79,Döntő,52
80,Döntő,53
81,Döntő,54
82,Döntő,55
83,Döntő,56
84,Döntő,57
85,Elődöntő,58
86,Döntő,58
87,Döntő,59
88,Elődöntő,60
89,Döntő,60
90,Döntő,61
91,Döntő,62
92,1.Forduló,63
93,Elődöntő,63
94,Döntő,63
95,Section 1,64
96,Döntő,65
97,Döntő,66
98,Döntő,67
99,Elődöntő,68
100,Döntő,68
101,Döntő,69
102,Döntő,70
103,1.Forduló,71
104,Elődöntő,71
105,Döntő,71
106,Döntő,72
107,Döntő,73
108,Döntő,74
109,Döntő,75
110,Elődöntő,76
111,Döntő,76
112,Döntő,77
113,Döntő,78
114,Döntő,79
115,Döntő,80
116,Döntő,81
117,Döntő,82
118,Section 1,83
119,Döntő,86
120,1.Forduló,87
121,Elődöntő,87
122,Döntő,87
123,Döntő,88
124,Döntő,89
125,5.Forduló,90
126,Döntő,91
127,1.Forduló,92
128,Elődöntő,92
129,Döntő,92
130,1.Forduló,93
131,Elődöntő,93
132,Döntő,93
133,Elődöntő,94
134,Döntő,94
135,Döntő,95
136,1.Forduló,96
137,Elődöntő,96
138,Döntő,96
139,Döntő,97
140,Döntő,98
141,Döntő,99
142,Döntő,100
143,6.Forduló,101
144,1.Forduló,102
145,Elődöntő,102
146,Döntő,102
147,Döntő,103
148,1.Forduló,104
149,Elődöntő,104
150,Döntő,104
151,Döntő,105
152,1.Forduló,106
153,Elődöntő,106
154,Döntő,106
155,Döntő,107
156,Elődöntő,108
157,Döntő,108
158,Döntő,109
159,1.Forduló,110
160,Elődöntő,110
161,Döntő,110
162,Döntő,111
163,Döntő,112
164,Elődöntő,113
165,Döntő,113
166,Elődöntő,114
167,Döntő,114
168,1.Forduló,115
169,Elődöntő,115
170,Döntő,115
171,Elődöntő,116
172,Döntő,116
173,Döntő,118
174,Elődöntő,119
175,Döntő,119
176,Döntő,120
177,Döntő,121
178,Döntő,122
179,Elődöntő,123
180,Döntő,123
181,Döntő,124
182,Elődöntő,125
183,Döntő,125
184,Döntő,126
185,Döntő,127
186,Döntő,128
187,Döntő,129
188,Döntő,130
189,Elődöntő,131
190,Döntő,131
191,Elődöntő,132
192,Döntő,132
193,Döntő,133
194,Döntő,134
195,Elődöntő,135
196,Döntő,135
197,Döntő,136
198,Döntő,137
199,Döntő,138
200,Elődöntő,139
201,Döntő,139
202,Döntő,140
203,Elődöntő,141
204,Döntő,141
205,6.Forduló,142
206,Döntő,143
207,Döntő,144
208,Döntő,146
209,Elődöntő,147
210,Döntő,147
211,Section 1,148
212,Döntő,149
213,Döntő,151
214,Döntő,152
215,Elődöntő,153
216,Döntő,153
217,Döntő,154
218,Elődöntő,156
219,Döntő,156
220,4.Forduló,157
221,Döntő,158
222,Elődöntő,159
223,Döntő,159
224,Döntő,160
225,Döntő,161
226,Döntő,162
227,Elődöntő,163
228,Döntő,163
229,Döntő,164
230,Elődöntő,165
231,Döntő,165
232,Elődöntő,166
233,Döntő,166
234,Döntő,167
235,Döntő,168
236,Döntő,169
237,Döntő,170
238,Elődöntő,172
239,Döntő,172
240,Section 1,173
241,Döntő,174
242,Döntő,175
243,Döntő,176
244,Döntő,177
245,1.Forduló,178
246,Elődöntő,178
247,Döntő,178
248,Döntő,179
249,Döntő,180
250,Döntő,181
251,1.Forduló,183
252,Elődöntő,183
253,Döntő,183
254,Döntő,184
255,Döntő,186
256,Döntő,187
257,Elődöntő,188
258,Döntő,188
259,Döntő,189
260,1.Forduló,191
261,Elődöntő,191
262,Döntő,191
263,Elődöntő,192
264,Döntő,192
265,Döntő,193
266,Döntő,194
267,Elődöntő,195
268,Döntő,195
269,Elődöntő,196
270,Döntő,196
271,Elődöntő,197
272,Döntő,197
273,Elődöntő,198
274,Döntő,198
275,Elődöntő,199
276,Döntő,199
277,Döntő,200
278,Döntő,201
279,1.Forduló,202
280,Elődöntő,202
281,Döntő,202
282,Elődöntő,203
283,Döntő,203
284,Döntő,204
285,Döntő,205
286,5.Forduló,206
287,1.Forduló,207
288,Elődöntő,207
289,Döntő,207
290,Döntő,208
291,Elődöntő,209
292,Döntő,209
293,Elődöntő,210
294,Döntő,210
295,Döntő,211
296,Elődöntő,212
297,Döntő,212
298,Döntő,213
299,Elődöntő,214
300,Döntő,214
301,6.Forduló,215
302,Döntő,216
303,Döntő,217
304,Döntő,218
305,Döntő,219
306,Döntő,220
307,6.Forduló,221
308,Döntő,222
309,Elődöntő,223
310,Döntő,223
311,Elődöntő,224
312,Döntő,224
313,Döntő,225
314,Elődöntő,226
315,Döntő,226
316,Elődöntő,227
317,Döntő,227
318,1.Forduló,228
319,Elődöntő,228
320,Döntő,228
321,Döntő,229
322,Döntő,230
323,Döntő,231
324,1.Forduló,232
325,Elődöntő,232
326,Döntő,232
327,Döntő,233
328,Döntő,234
329,Elődöntő,235
330,Döntő,235
331,Döntő,236
332,Döntő,237
333,Elődöntő,238
334,Döntő,238
335,Döntő,240
336,Döntő,241
337,Döntő,242
338,Döntő,243
339,Döntő,245
340,1.Forduló,246
341,Elődöntő,246
342,Döntő,246
343,Döntő,247
344,Döntő,248
345,1.Forduló,249
346,Elődöntő,249
347,Döntő,249
348,Döntő,250
349,1.Forduló,251
350,Elődöntő,251
351,Döntő,251
352,Döntő,252
353,Döntő,253
354,Döntő,254
355,Section 1,255
356,Döntő,256
357,Elődöntő,257
358,Döntő,257
359,Döntő,259
360,Döntő,260
361,Elődöntő,261
362,Döntő,261
363,Döntő,263
364,Döntő,264
365,Section 1,265
366,Elődöntő,266
367,Döntő,266
368,Elődöntő,267
369,Döntő,267
370,1.Forduló,268
371,Elődöntő,268
372,Döntő,268
373,Döntő,270
374,Döntő,271
375,Elődöntő,272
376,Döntő,272
377,Döntő,273
378,Döntő,274
379,Section 1,275
380,Döntő,276
381,Döntő,278
382,Döntő,279
383,Elődöntő,280
384,Döntő,280
385,Elődöntő,281
386,Döntő,281
387,1.Forduló,282
388,Elődöntő,282
389,Döntő,282
390,Elődöntő,283
391,Döntő,283
392,Elődöntő,284
393,Döntő,284
394,Döntő,285
395,1.Forduló,286
396,Elődöntő,286
397,Döntő,286
398,Elődöntő,287
399,Döntő,287
400,5.Forduló,288
401,Döntő,289
402,Döntő,290
403,Döntő,291
404,Elődöntő,292
405,Döntő,292
406,Elődöntő,293
407,Döntő,293
408,Elődöntő,294
409,Döntő,294
410,Döntő,295
411,Döntő,296
412,Döntő,297
413,Döntő,298
414,Döntő,299
415,Döntő,300
416,Döntő,301
417,Döntő,302
418,Elődöntő,303
419,Döntő,303
420,Elődöntő,304
421,Döntő,304
422,Döntő,305
423,Section 1,306
424,Döntő,307
425,Döntő,308
426,Elődöntő,309
427,Döntő,309
428,1.Forduló,310
429,Elődöntő,310
430,Döntő,310
431,Döntő,311
432,Döntő,312
433,Döntő,313
434,Döntő,314
435,Döntő,315
436,Döntő,316
437,Döntő,317
438,Döntő,318
439,Döntő,319
440,Döntő,320
441,Döntő,321
442,1.Forduló,322
443,Elődöntő,322
444,Döntő,322
445,6.Forduló,323
446,Döntő,324
447,Döntő,325
448,Döntő,326
449,4.Forduló,327
450,Elődöntő,328
451,Döntő,328
452,Elődöntő,329
453,Döntő,329
454,Elődöntő,330
455,Döntő,330
456,Döntő,331
457,Döntő,332
458,Elődöntő,333
459,Döntő,333
460,Elődöntő,334
461,Döntő,334
462,Elődöntő,335
463,Döntő,335
464,Elődöntő,336
465,Döntő,336
466,Section 1,337
467,Elődöntő,338
468,Döntő,338
469,1.Forduló,339
470,Elődöntő,339
471,Döntő,339
472,Döntő,340
473,Döntő,341
474,Döntő,342
475,Döntő,343
476,Döntő,344
477,Elődöntő,345
478,Döntő,345
479,Döntő,346
480,1.Forduló,347
481,Elődöntő,347
482,Döntő,347
483,Elődöntő,348
484,Döntő,348
485,Elődöntő,350
486,Döntő,350
487,Elődöntő,351
488,Döntő,351
489,1.Forduló,352
490,Elődöntő,352
491,Döntő,352
492,Döntő,353
493,4.Forduló,354
494,Döntő,355
495,Döntő,356
496,Elődöntő,357
497,Döntő,357
498,Elődöntő,358
499,Döntő,358
500,Döntő,359
501,Elődöntő,360
502,Döntő,360
503,Döntő,361
504,Döntő,363
505,Döntő,364
506,Döntő,365
507,Döntő,366
508,Döntő,367
509,Elődöntő,368
510,Döntő,368
511,Döntő,369
512,1.Forduló,370
513,2.Forduló,370
514,Elődöntő,370
515,Döntő,370
516,Döntő,371
517,Elődöntő,372
518,Döntő,372
519,Döntő,373
520,1.Forduló,374
521,Elődöntő,374
522,Döntő,374
523,Döntő,375
524,1.Forduló,376
525,Elődöntő,376
526,Döntő,376
527,Elődöntő,377
528,Döntő,377
529,1.Forduló,378
530,Elődöntő,378
531,Döntő,378
532,Elődöntő,379
533,Döntő,379
534,Döntő,380
535,1.Forduló,382
536,Elődöntő,382
537,Döntő,382
538,Döntő,383
539,Döntő,384
540,Döntő,385
541,Döntő,386
542,Döntő,387
543,Döntő,388
544,Elődöntő,389
545,Döntő,389
546,Elődöntő,390
547,Döntő,390
548,Elődöntő,391
549,Döntő,391
550,1.Forduló,392
551,Elődöntő,392
552,Döntő,392
553,1.Forduló,393
554,Elődöntő,393
555,Döntő,393
556,Döntő,394
557,Elődöntő,395
558,Döntő,395
559,Döntő,396
560,1.Forduló,398
561,Elődöntő,398
562,Döntő,398
563,Döntő,399
564,Elődöntő,400
565,Döntő,400
566,Döntő,401
567,Döntő,402
568,6.Forduló,403
569,Elődöntő,404
570,Döntő,404
571,Döntő,406
572,Döntő,407
573,Elődöntő,408
574,Döntő,408
575,Döntő,409
576,4.Forduló,410
577,Döntő,411
578,Döntő,412
579,Döntő,413
580,Döntő,414
581,Döntő,415
582,Döntő,416
583,Döntő,417
584,Döntő,418
585,1.Forduló,419
586,Elődöntő,419
587,Döntő,419
588,Döntő,420
589,Elődöntő,421
590,Döntő,421
591,Elődöntő,422
592,Döntő,422
593,Döntő,423
594,Döntő,424
595,Döntő,425
596,Döntő,427
597,Döntő,428
598,Döntő,429
599,5.Forduló,430
600,Döntő,431
601,Döntő,432
602,1.Forduló,433
603,Reményfutam után,433
604,2.Forduló,433
605,Elődöntő,433
606,Döntő,433
607,Döntő,434
608,Döntő,435
609,Döntő,436
610,Döntő,437
611,Döntő,438
612,Döntő,439
613,Döntő,440
614,Döntő,441
615,Elődöntő,442
616,Döntő,442
617,Döntő,443
618,Döntő,444
619,Döntő,445
620,Elődöntő,446
621,Döntő,446
622,Döntő,447
623,Elődöntő,448
624,Döntő,448
625,Döntő,449
626,Döntő,450
627,Elődöntő,451
628,Döntő,451
629,Döntő,452
630,Döntő,453
631,Döntő,454
632,Döntő,455
633,Elődöntő,456
634,Döntő,456
635,Döntő,457
636,1.Forduló,458
637,Reményfutam után,458
638,2.Forduló,458
639,3.Forduló,458
640,Elődöntő,458
641,Döntő,458
642,Döntő,459
643,Döntő,460
644,Döntő,461
645,Elődöntő,462
646,Döntő,462
647,Elődöntő,463
648,Döntő,463
649,1.Forduló,464
650,Elődöntő,464
651,Döntő,464
652,Döntő,465
653,Döntő,467
654,Döntő,468
655,Döntő,469
656,Döntő,470
657,Döntő,471
658,Döntő,472
659,1.Forduló,473
660,Elődöntő,473
661,Döntő,473
662,Döntő,474
663,1.Forduló,475
664,2.Forduló,475
665,3.Forduló,475
