A,B
1,1
1,2
1,3
1,4
1,5
2,4
2,6
2,7
2,8
2,9
2,10
2,11
3,12
3,13
3,1
3,14
3,15
3,16
3,17
4,18
4,19
4,17
4,20
4,21
5,1
5,3
5,22
5,10
5,23
5,2
5,16
6,6
6,24
6,12
6,8
6,25
6,26
6,27
7,28
7,29
7,30
7,31
7,32
8,33
8,20
8,15
8,34
8,32
8,23
8,35
9,36
9,37
9,38
9,39
9,40
9,41
9,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
11,32
11,16
11,50
11,51
11,1
12,30
12,52
12,53
12,43
12,54
13,35
13,55
13,5
13,56
13,57
13,58
13,30
14,59
14,60
14,16
14,20
14,61
14,62
14,55
15,43
15,63
15,64
15,65
15,66
15,67
15,68
16,43
16,69
16,70
16,71
16,72
17,8
17,73
17,54
17,74
17,75
17,38
17,3
17,41
17,32
18,76
18,77
18,78
18,79
18,46
18,80
18,81
18,82
18,83
18,84
18,85
19,86
19,36
19,87
19,88
19,29
19,89
19,90
19,44
19,91
20,92
20,18
20,63
20,93
20,32
21,94
21,95
21,96
21,74
21,97
22,25
22,98
22,38
22,30
22,99
23,25
23,14
23,96
23,100
23,32
24,101
24,102
24,103
24,104
24,105
24,106
24,6
25,107
25,106
25,108
25,74
25,27
26,73
26,35
26,96
26,61
26,8
27,41
27,14
27,106
27,109
27,29
28,59
28,9
28,61
28,55
28,106
29,1
29,33
29,60
29,50
29,89
30,110
30,73
30,74
30,39
30,3
31,58
31,59
31,93
31,60
31,111
32,87
32,37
32,16
32,38
32,58
32,30
32,2
33,32
33,54
33,38
33,55
33,95
34,36
34,92
34,38
34,112
34,113
35,94
35,114
35,115
35,116
35,117
36,28
36,53
36,89
36,92
36,55
36,30
36,93
36,118
36,98
37,87
37,119
37,50
37,59
37,120
38,62
38,119
38,73
38,56
38,113
38,41
38,121
39,20
39,122
39,9
39,61
39,123
40,124
40,71
40,26
40,7
40,32
41,18
41,43
41,125
41,65
41,126
41,127
41,128
41,129
41,130
41,131
41,132
42,37
42,96
42,38
42,119
42,3
43,133
43,38
43,62
43,134
43,135
44,29
44,18
44,13
44,136
44,137
44,55
44,138
45,8
45,139
45,55
45,93
45,137
45,140
45,119
45,50
45,21
46,42
46,141
46,30
46,142
46,6
47,140
47,106
47,8
47,1
47,4
47,23
47,41
48,25
48,88
48,143
48,5
48,144
50,138
50,145
50,146
50,139
50,59
51,147
51,89
51,148
51,118
51,99
51,100
51,62
51,149
51,8
52,150
52,16
52,116
52,95
52,151
53,127
53,19
53,152
53,99
53,62
54,153
54,24
54,7
54,154
54,107
54,155
54,95
55,156
55,1
55,119
55,113
55,97
56,140
56,139
56,148
56,106
56,74
57,58
57,105
57,139
57,100
58,157
58,75
58,38
58,49
58,93
59,8
59,158
59,100
59,56
59,59
59,25
59,19
60,138
60,157
60,1
60,55
60,52
60,62
60,32
61,24
61,75
61,20
61,32
61,41
61,105
61,17
62,159
62,46
62,80
62,132
62,83
62,28
62,160
63,21
63,20
63,136
63,18
63,51
63,30
63,161
63,162
63,147
63,163
63,13
65,157
65,37
65,119
65,95
65,3
66,110
66,18
66,164
66,29
66,62
66,115
66,120
67,74
67,98
67,164
67,29
67,62
67,115
67,120
68,165
68,163
68,166
68,155
68,97
68,111
68,25
69,119
69,117
69,33
69,167
69,151
70,4
70,92
70,3
70,164
70,2
70,22
70,168
71,153
71,4
71,73
71,169
71,165
72,57
72,170
72,14
72,38
72,113
72,36
72,115
72,62
72,58
73,30
73,165
73,107
73,153
73,33
74,142
74,22
74,98
74,171
74,160
75,28
75,172
75,15
75,155
75,41
76,165
76,54
76,173
76,174
76,30
77,175
77,18
77,100
77,39
77,50
77,41
77,176
78,57
78,14
78,38
78,36
78,115
78,62
78,58
79,173
79,33
79,30
79,165
79,122
80,107
80,177
80,166
80,14
80,31
81,165
81,148
81,107
81,178
81,35
82,14
82,18
82,75
82,38
82,19
82,88
82,29
82,23
82,93
86,110
86,13
86,73
86,1
86,61
87,25
87,100
87,105
87,32
87,70
88,179
88,139
88,55
88,101
88,3
88,10
88,122
89,180
89,14
89,117
89,116
89,20
89,56
89,113
90,140
90,106
90,8
90,55
90,4
90,181
90,41
91,182
91,12
91,183
91,184
91,136
91,165
91,62
92,185
92,186
92,187
92,74
92,188
93,138
93,169
93,146
93,6
93,139
93,189
93,160
94,190
94,50
94,10
94,191
94,74
95,28
95,19
95,53
95,29
95,49
95,192
95,118
96,98
96,55
96,193
96,19
96,30
97,117
97,56
97,155
97,96
97,137
98,175
98,18
98,100
98,39
98,4
98,41
98,16
99,86
99,38
99,97
99,29
99,194
100,28
100,17
100,152
100,170
100,19
100,75
100,21
101,139
101,195
101,88
101,10
101,196
102,55
102,19
102,5
102,56
102,57
102,30
102,32
103,122
103,123
103,147
103,28
103,138
103,169
103,172
103,33
103,13
104,41
104,111
104,197
104,173
104,198
105,157
105,107
105,18
105,115
105,120
106,166
106,14
106,20
106,62
106,153
107,183
107,177
107,116
107,199
107,97
108,33
108,20
108,15
108,34
108,32
108,23
108,35
109,51
109,33
109,112
109,3
109,113
110,200
110,201
110,16
110,36
110,170
110,167
110,202
111,156
111,108
111,1
111,74
111,203
111,119
111,120
112,149
112,88
112,23
112,41
112,160
113,49
113,19
113,28
113,13
113,167
114,204
114,205
114,13
114,117
114,171
115,30
115,139
115,27
115,26
115,73
116,100
116,109
116,4
116,31
116,61
116,111
116,105
117,169
117,12
117,25
117,98
117,37
117,153
117,73
118,1
118,74
118,203
118,119
118,56
118,41
118,120
119,8
119,139
119,55
119,93
119,137
119,140
119,119
119,50
119,21
120,156
120,8
120,149
120,117
120,120
121,206
121,35
121,38
121,72
121,74
122,109
122,149
122,37
122,38
122,3
123,123
123,55
123,20
123,56
123,12
124,39
124,29
124,59
124,138
124,113
125,28
125,160
125,89
125,136
125,207
126,169
126,208
126,37
126,7
126,23
126,12
126,56
127,183
127,177
127,116
127,199
127,97
128,87
128,1
128,56
128,50
128,10
128,58
128,120
129,58
129,74
129,1
129,14
129,34
129,196
129,209
130,19
130,58
130,59
130,93
130,210
131,10
131,38
131,110
131,30
131,2
132,75
132,211
132,32
132,86
132,38
132,29
132,194
133,157
133,212
133,8
133,36
133,108
133,14
133,38
133,56
133,88
133,52
133,192
133,23
133,42
134,12
134,183
134,184
134,136
134,165
134,10
134,16
135,14
135,75
135,112
135,120
135,30
136,110
136,13
136,73
136,1
136,61
137,180
137,55
137,75
137,53
137,50
137,29
137,103
137,213
137,30
137,16
137,93
138,105
138,122
138,18
138,1
138,74
139,163
139,75
139,1
139,167
139,16
140,166
140,14
140,18
140,12
140,173
141,206
141,21
141,214
141,29
141,52
141,215
141,216
142,180
142,20
142,95
142,31
142,122
143,75
143,73
143,26
143,199
143,95
144,153
144,4
144,73
144,169
144,165
144,96
144,136
146,8
146,112
146,10
146,1
146,28
147,165
147,43
147,155
147,97
147,117
147,111
147,25
149,28
149,1
149,33
149,123
149,190
151,142
151,156
151,6
151,56
151,52
151,59
151,89
152,39
152,22
152,52
152,217
152,5
152,62
152,160
153,29
153,106
153,58
153,165
154,157
154,89
154,41
154,101
154,52
156,157
156,73
156,169
156,38
156,56
157,180
157,218
157,74
157,38
157,20
157,113
157,31
158,74
158,219
158,220
158,221
158,222
159,6
159,173
159,115
159,39
159,223
160,6
160,166
160,174
160,123
160,97
161,99
161,224
161,225
161,226
161,227
162,73
162,33
162,26
162,4
162,61
163,30
163,19
163,109
163,14
163,106
163,4
163,117
164,198
164,197
164,106
164,11
164,162
165,190
165,69
165,50
165,10
165,89
166,55
166,175
166,96
166,57
166,30
167,21
167,12
167,25
167,96
167,4
167,61
167,122
168,108
168,22
168,170
168,58
168,5
168,228
168,229
169,160
169,33
169,10
169,25
169,42
169,190
169,169
170,180
170,14
170,116
170,56
170,113
170,42
170,62
172,230
172,231
172,232
172,233
172,131
172,234
172,235
172,236
172,43
174,36
174,98
174,74
174,56
174,88
174,58
174,30
175,107
175,108
175,60
175,27
175,237
176,107
176,8
176,149
176,101
176,95
177,101
177,43
177,238
177,75
177,147
178,19
178,37
178,217
178,92
178,2
179,142
179,156
179,86
179,56
179,52
179,5
179,89
180,6
180,21
180,25
180,178
180,179
180,3
180,101
181,55
181,43
181,51
181,52
181,28
183,147
183,1
183,50
183,38
183,136
183,75
183,32
184,100
184,97
184,137
184,7
184,138
186,74
186,32
186,13
186,1
186,106
187,204
187,8
187,73
187,92
187,239
188,28
188,53
188,89
188,92
188,58
189,14
189,70
189,19
189,88
189,31
190,25
190,14
190,75
190,52
190,100
191,139
191,27
191,73
191,100
191,8
192,204
192,205
192,7
192,95
192,171
193,108
193,1
193,3
193,22
193,10
193,23
193,2
194,1
194,74
194,203
194,119
194,56
194,41
194,120
195,28
195,29
195,18
195,51
195,13
195,19
195,17
195,20
195,21
196,51
196,95
196,240
196,61
196,103
197,42
197,20
197,34
197,32
197,23
197,35
197,25
198,116
198,164
198,112
198,56
198,4
199,32
199,52
199,241
199,118
199,10
199,19
199,196
199,113
199,139
200,103
200,166
200,14
200,62
200,153
201,157
201,107
201,73
201,18
201,56
201,4
201,29
201,115
201,120
202,60
202,123
202,111
202,56
202,41
203,41
203,111
203,197
203,173
203,198
204,137
204,4
204,74
204,41
204,170
204,138
204,11
205,138
205,18
205,74
205,75
205,22
205,52
205,2
205,194
205,89
206,139
206,60
206,88
206,10
206,196
207,28
207,17
207,152
207,51
207,170
207,19
207,75
207,21
207,101
207,50
207,30
208,8
208,116
208,153
208,169
208,55
208,25
208,39
209,86
209,38
209,97
209,29
209,194
210,43
210,155
210,96
210,137
210,163
211,138
211,175
211,18
211,39
211,50
211,4
211,16
212,110
212,108
212,98
212,55
212,193
212,19
212,30
212,122
212,118
213,28
213,19
213,53
213,29
213,49
213,192
213,118
214,190
214,18
214,58
214,114
214,242
215,87
215,166
215,98
215,58
215,122
216,163
216,75
216,1
216,167
216,16
217,43
217,117
217,96
217,137
217,163
218,105
218,122
218,18
218,1
218,74
219,110
219,13
219,1
219,4
219,61
220,98
220,14
220,75
220,30
220,194
221,212
221,8
221,36
221,108
221,38
221,56
221,88
221,52
221,192
221,42
221,115
221,93
221,32
222,149
222,92
222,37
222,38
222,112
223,110
223,74
223,140
223,149
223,12
224,38
224,171
224,120
224,93
224,243
225,87
225,1
225,50
225,10
225,89
225,16
225,120
226,211
226,191
226,119
226,41
227,58
227,123
227,50
227,139
228,24
228,31
228,244
228,155
228,240
229,39
229,29
229,59
229,138
229,113
230,123
230,55
230,20
230,56
230,12
231,157
231,73
231,101
231,119
231,3
232,206
232,35
232,38
232,72
232,74
233,109
233,38
233,41
233,106
233,31
233,29
233,138
234,8
234,149
234,33
234,3
234,120
235,100
235,109
235,4
235,31
235,61
235,111
235,105
236,30
236,19
236,109
236,14
236,106
236,4
236,117
237,13
237,33
237,26
237,4
237,61
238,36
238,28
238,99
238,245
238,75
238,14
238,50
239,180
239,218
239,74
239,38
239,20
239,113
239,31
240,1
240,7
240,246
240,16
240,157
241,6
241,173
241,115
241,39
241,223
242,23
242,138
242,55
242,15
242,59
242,112
242,96
243,74
243,219
243,220
243,221
243,222
244,180
244,157
244,37
244,38
244,20
244,113
244,31
245,157
245,73
245,169
245,38
245,56
246,247
246,248
246,44
246,249
246,250
246,251
246,252
246,127
246,253
247,157
247,32
247,101
247,52
247,42
248,5
248,53
248,254
249,153
249,50
249,61
249,89
249,190
249,53
249,198
250,242
250,29
250,55
250,106
251,109
251,103
251,10
251,139
251,138
252,142
252,156
252,86
252,6
252,56
252,52
252,5
253,28
253,74
253,26
253,38
253,3
253,58
253,30
254,93
254,165
254,198
256,255
256,14
256,123
256,211
256,49
257,55
257,18
257,60
257,13
257,119
257,50
257,38
258,14
258,18
258,96
258,32
258,93
259,74
259,108
259,164
259,50
259,23
260,73
260,195
260,100
260,116
260,4
261,256
261,61
261,111
261,31
261,138
262,25
262,14
262,75
262,52
262,100
263,14
263,70
263,19
263,88
263,31
264,28
264,53
264,89
264,92
264,58
266,74
266,241
266,58
266,257
266,258
267,38
267,100
267,97
267,137
267,6
268,147
268,1
268,50
268,38
268,136
268,75
268,32
270,6
270,21
270,25
270,178
270,179
270,3
270,101
271,39
271,29
271,59
271,138
271,113
272,28
272,89
272,147
272,49
272,51
272,18
272,259
272,260
272,261
272,251
272,262
273,107
273,108
273,60
273,27
273,237
274,24
274,16
274,114
274,50
274,263
276,56
276,138
276,106
276,8
276,6
278,87
278,149
278,55
278,100
278,112
278,50
278,30
279,21
279,12
279,25
279,96
279,4
279,61
279,122
280,115
280,16
280,264
280,55
280,96
281,73
281,43
281,34
281,54
281,29
282,28
282,165
282,54
282,89
282,62
283,14
283,18
283,96
283,32
283,93
284,25
284,98
284,38
284,30
284,99
285,55
285,18
285,132
285,265
285,91
286,77
286,79
286,46
286,81
286,82
286,83
286,85
286,266
286,267
287,138
287,104
287,268
287,8
287,7
288,140
288,8
288,75
288,38
288,174
288,41
288,32
289,43
289,69
289,70
289,71
289,72
