id,name,location,link
1,Horváth Ferenc,Orosháza,rozhodca.php?meno=Horváth Ferenc&mesto=Orosháza
2,Szabó Anita,Szeged,rozhodca.php?meno=Szabó Anita&mesto=Szeged
3,Molnár Anna,Jászberény,rozhodca.php?meno=Molnár Anna&mesto=Jászberény
4,Novák Tamás,Szombathely,rozhodca.php?meno=Novák Tamás&mesto=Szombathely
5,Szepesi József,Szentes,rozhodca.php?meno=Szepesi József&mesto=Szentes
6,Emődi Zoltán,Debrecen,rozhodca.php?meno=Emődi Zoltán&mesto=Debrecen
7,Eke Sarolta,Budapest,rozhodca.php?meno=Eke Sarolta&mesto=Budapest
8,Dudás Tibor,Pécel,rozhodca.php?meno=Dudás Tibor&mesto=Pécel
9,Zsuppán Alexandra,Budapest,rozhodca.php?meno=Zsuppán Alexandra&mesto=Budapest
10,Simon Csaba,Miskolc,rozhodca.php?meno=Simon Csaba&mesto=Miskolc
11,Somogyi Norbert,Horváthország,rozhodca.php?meno=Somogyi Norbert&mesto=Horváthország
12,Bíróné Váradi Éva,Törökbálint,rozhodca.php?meno=Bíróné Váradi Éva&mesto=Törökbálint
13,Földházi Péter,Budapest,rozhodca.php?meno=Földházi Péter&mesto=Budapest
14,Horváth Zoltán,Budapest,rozhodca.php?meno=Horváth Zoltán&mesto=Budapest
15,László-Németh Anikó,Szentes,rozhodca.php?meno=László-Németh Anikó&mesto=Szentes
16,Terdik-Tasi Tímea,Nyíradony,rozhodca.php?meno=Terdik-Tasi Tímea&mesto=Nyíradony
17,Zsilák Zsuzsanna,Szeged,rozhodca.php?meno=Zsilák Zsuzsanna&mesto=Szeged
18,Jegonyán Okszána,Budapest,rozhodca.php?meno=Jegonyán Okszána&mesto=Budapest
19,Kuzma Péter,Zalaegerszeg,rozhodca.php?meno=Kuzma Péter&mesto=Zalaegerszeg
20,Lajtai Beatrix,Budapest,rozhodca.php?meno=Lajtai Beatrix&mesto=Budapest
21,Balikóné Akkerman Éva,Budapest,rozhodca.php?meno=Balikóné Akkerman Éva&mesto=Budapest
22,Püspöki Dávid,Szolnok,rozhodca.php?meno=Püspöki Dávid&mesto=Szolnok
23,Süttő Roland,Miskolc,rozhodca.php?meno=Süttő Roland&mesto=Miskolc
24,Dremák Éva,Debrecen,rozhodca.php?meno=Dremák Éva&mesto=Debrecen
25,Gulyás Miklós,Békéscsaba,rozhodca.php?meno=Gulyás Miklós&mesto=Békéscsaba
26,Kenyeres Csaba,Békés,rozhodca.php?meno=Kenyeres Csaba&mesto=Békés
27,Kovács Franciska,Siófok,rozhodca.php?meno=Kovács Franciska&mesto=Siófok
28,Bíró Csaba,Debrecen,rozhodca.php?meno=Bíró Csaba&mesto=Debrecen
