id,name,club,profileLink
1,Tóth Zoltán - Dernei Titanilla Xénia,Valcer TáncSport Egyesület,par.php?id=5647
2,Juhász Máté Noel - Vágvölgyi Fanni,Valcer TáncSport Egyesület,par.php?id=5430
3,Lajos Bence Balázs - Kaszás Anikó Zsuzsanna,Valcer TáncSport Egyesület,par.php?id=5693
4,Várhalmi Barnabás - Várhalmi Borbála,Valcer TáncSport Egyesület,par.php?id=5695
5,Simó Tamás Ferenc - Szél Luca,Spirit Tánc Sport Egyesület,par.php?id=7009
6,Kispál Gergely Tas - Dr. Biczó Petra,Szilver Táncsport Egyesület,par.php?id=7175
7,Gallai Miklós - Gallai Zsuzsanna,Cit-Car Táncsport Egyesület,par.php?id=3226
8,Préger Balázs - Horváth Vanda Eszter,Pro-Art Táncstúdió,par.php?id=2954
9,Sárffy Benedek - Kovács Lili,Gála Társastáncklub Egyesület,par.php?id=3212
10,Mészáros Bence Levente - Balanescu Liliána,Szilver Táncsport Egyesület,par.php?id=3
11,Rischák Balázs - Gálfi Petra,Szilver Táncsport Egyesület,par.php?id=1376
12,Krizsán Dominik - Nagy Réka Anna,Pro-Art Táncstúdió,par.php?id=12
13,Börcsök Balázs Róbert - Unger Fanni,Forma Táncsport Egyesület,par.php?id=1783
14,Iványi Dávid Alex - Peták Magdolna,Forma Táncsport Egyesület,par.php?id=231
15,Urbán István - Urbán Lilla,Szilver Táncsport Egyesület,par.php?id=215
16,Borbás Csaba - Tóth Emília,Szilver Táncsport Egyesület - Pro-Art Táncstúdió,par.php?id=2813
17,Tóth Árpád - Lengyel Claudia,Botafogo Táncegyüttes - Alex Moore Táncsport Egyesület,par.php?id=2626
18,Reck Tibor - Szlepák Andrea Zsuzsanna,Botafogo Táncegyüttes,par.php?id=2810
19,Czinege Norbert - Krausz Judit,Valcer Táncstúdió - DanceLand TáncSport Sportegyesület,par.php?id=1882
20,Kerekes Krisztián - Mártha Mercédesz Laura,Valcer Táncstúdió,par.php?id=373
21,Rákóczy Zsombor - Józsa Janka,Ritmo Sporttánc Egyesület,par.php?id=941
22,Kakuk Milán - Szabó Tamara,Ködmön Társastánc SE,par.php?id=377
23,Lóczi Gergely - Molnár Fanni Odett,Napfény TáncSport Egyesület,par.php?id=2386
24,Bencsik Gergő - Sándor Szilvia,SZOLDANCE Táncsport Egyesület,par.php?id=287
25,Dajcs Trisztán Sámuel - Fekete Krisztina,Szilver Táncsport Egyesület,par.php?id=2576
26,Mizsér Tamás - Fülöp Zsuzsanna,DanceStation Táncsport Egyesület - Oktogon Tánccentrum,par.php?id=1881
27,Leskur Jure - Zanetic Ivana,Croatia,par.php?id=2836
28,Regős Péter - Regősné Jancsovics Julianna,Szilver Táncsport Egyesület,par.php?id=5728
29,Fantom - Fantom,Fantom,par.php?id=5521
30,Elek Barnabás - Kerek Anikó Edina,Lesz Dance Tánc- és Sportegyesület,par.php?id=4112
31,Nagy Kristóf - Hegyi Ingrid,Valcer Táncstúdió,par.php?id=3830
32,Szatmári Lóránd Tiborc - Kiss Bernadett,Lesz Dance Tánc- és Sportegyesület,par.php?id=4114
33,Csontos Bence - Németh Lilla,Valcer Táncstúdió,par.php?id=3351
34,Tóth Zoltán - Kulcsár Henrietta,Egri Honvéd Táncsport SE,par.php?id=3992
35,Janovics Róbert Dr. - Babka Beáta Dr.,Valcer Táncstúdió,par.php?id=4154
36,Nagy Lajos - Juhász Kinga,Nyíri Lajos Táncsport Egyesület,par.php?id=3833
37,Tóth László - Potsay Zille Csenge,Egri Honvéd Táncsport SE,par.php?id=3993
38,Gáspár István - Gáspárné Szilágyi Szilvia,Dance Universe Tánc Sportegyesület,par.php?id=3328
39,Simovic Dominik - Dórák Lara Jázmin,El Paso SE,par.php?id=3806
40,Fehér Erik - Terdik Tímea,Valcer TáncSport Egyesület,par.php?id=5048
41,Farkas Bernát Jakab - Szekeres Lilla Sára,Spirit Tánc Sport Egyesület - Forma Táncsport Egyesület,par.php?id=5707
42,Kis Roland - Együd Luca,Valcer TáncSport Egyesület,par.php?id=5212
43,Ábrám Dominik - Dányi Vivien Zsófia,OPCIÓ Kft - ZugloDance - Stúdió 2000 TSE,par.php?id=5705
44,Marton László - Gál Viktória,Szilver Táncsport Egyesület,par.php?id=5204
45,Ábrám Erik - Szabó Fanni,OPCIÓ Kft - ZugloDance,par.php?id=5424
46,Pető Zoltán - Pintér Mónika Mária,Szilver Táncsport Egyesület,par.php?id=4932
47,Wirth Péter Kristóf - Fóris Csenge Jázmin,Sway Táncsport Egyesület,par.php?id=6495
48,Szabados Ákos - Szekér Johanna Erika,Savaria Táncsport Egyesület,par.php?id=6580
49,Bálint Balázs László - Boer Enikő,Everydance Táncsport Egyesület - Goldance Táncsport Egyesület,par.php?id=6802
50,Kürti Álmos - Tallárom Borbála Kinga,Sway Táncsport Egyesület,par.php?id=6483
51,Tóth Álmos Előd - Majorosi Zsófi,Laguna KTSE,par.php?id=6508
52,Gulácsi Kristóf - Szépréthy Zsófia Georgina,DanceStation Táncsport Egyesület,par.php?id=6875
53,Tálas Péter - Matolcsi Anita,Sway Táncsport Egyesület,par.php?id=6484
54,Lázár Gábor - Végh Alexandra,Ködmön Társastánc SE,par.php?id=5856
55,Bagi Norbert - Szekeres Brigitta,SZOLDANCE Táncsport Egyesület,par.php?id=6845
56,Kiss Domonkos Péter - Kaukál Hanna Mira,Botafogo Táncegyüttes,par.php?id=6882
57,Pászti Gergely - Juhász-Keglovits Klára,Goldance Táncsport Egyesület - Everydance Táncsport Egyesület,par.php?id=6777
58,Licska Péter - Iker Bianka,Goldance Táncsport Egyesület,par.php?id=6531
59,Moór Bálint - Detréné Törőcsik Henriett Má,Érdi Táncsport Egyesület,par.php?id=5604
60,Jóvári Levente Tamás - Szalai Szavanna,Flamenco 2001 TSE,par.php?id=253
61,Gedovics Balazs - Toth Emilia,Stúdió 2000 TSE - Pro-Art Táncstúdió,par.php?id=1333
62,Sárosi Róbert - Monyók Anna,Pro-Art Táncstúdió - Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=2018
63,Planinsek Aljaz - Zvonar Kristina,Szlovénia,par.php?id=2177
64,Lazók Viktor - Papa Ines,Pro-Art Táncstúdió - Claudius Táncsport Egyesület,par.php?id=1872
65,Tóth Barnabás - Juhász Dóra,Fulldance Táncsport Egyesület,par.php?id=69
66,Bazsik István - Králik Kamilla,Fulldance Táncsport Egyesület,par.php?id=151
67,Härtlein Ákos - Farkas Gréta,Forma Táncsport Egyesület,par.php?id=307
68,Serényi Barnabás Áron - Varga Liza,Adria-Szigó KTSE,par.php?id=792
69,Házas Ádám - Paluska Emese,Ritmo Sporttánc Egyesület,par.php?id=2436
70,Sütő Zalán - Markos Nikol,Botafogo Táncegyüttes,par.php?id=2129
71,Tuboly Zsombor - Salamon Sára,Gála Társastáncklub Egyesület,par.php?id=1962
72,Kovács Dávid László - Kiss Beatrix,Valcer Táncstúdió,par.php?id=1373
73,Dankó Janka Izabella -,Flamenco 2001 Táncsport Egyesület,par.php?id=6222
74,Elhardt Réka -,Flamenco 2001 Táncsport Egyesület,par.php?id=6213
75,Kosztra Balázs - Varga Lilla,El Paso SE,par.php?id=7109
76,Mátrai Oszkár - Krecsik Enikő,TAZE Tánc Sportegyesület,par.php?id=7279
77,Timár Bálint - Ungor Lora,Ritmo Sporttánc Egyesület,par.php?id=7090
78,Nagy Dávid - Lengyel Noémi,Bonton Tánc Sport Egyesület,par.php?id=6197
79,Horváth Zsongor - Pallagi Zsófia,SZIGO Kulturális Táncsport Egyesület,par.php?id=7119
80,Jó Bálint János - Tóth Szilvia,El Paso SE,par.php?id=7079
81,Laskói Csaba - Beck Sára,Freetime Táncsport Egyesület,par.php?id=7278
82,Friesenhahn András - Péter Jázmin,Laguna KTSE,par.php?id=7068
83,Visnyei László - NAgy Nóra Zsófia,Unique TáncSport Egyesület,par.php?id=7030
84,Zagarics Zétény - Lendvai Alexandra,Bonton Tánc Sport Egyesület,par.php?id=7084
85,Benyó Botond - Nagy Lilla,Stúdió 2000 TSE,par.php?id=7028
86,Offra Bálint - Zsákai Rebeka Zsófia,Valcer TáncSport Egyesület,par.php?id=6762
87,Papp Dávid - Bujdosó Fanni,Bajai Táncsport Egyesület,par.php?id=6932
88,Burcsa Balázs - Szalay Petra,Botafogo Táncegyüttes,par.php?id=4628
89,Csizmadia Márk - Kollár Dóra,Pro-Art Táncstúdió,par.php?id=2738
90,Tóth Tamás - Hegedűs Fruzsina,Danza Táncsport Egyesület,par.php?id=3827
91,Lakatos Ármin - Qinan Lulah,Oktogon Tánccentrum,par.php?id=3768
92,Éder Barnabás András - Turschl Tímea Katalin,Quality Dance TSE,par.php?id=3356
93,Tumó Roland - Horváth Kata Zsuzsanna,Ametiszt Táncsport Egyesület - Bajai Táncsport Egyesület,par.php?id=3158
94,Koszta Marcell - Radnai Nóra,Pro-Art Táncstúdió,par.php?id=4434
95,Perjési Patrik - Kuti Petra Gabriella,Quality Dance TSE,par.php?id=2637
96,Gubányi Patrik László - Kacsák Brigitta,Havanna Táncstúdió Sportegyesület,par.php?id=3190
97,Bencs Ádám - Better Barbara Alma,DanceStation Táncsport Egyesület,par.php?id=4443
98,Preszl Dániel - Pipicz Ágnes,Forma Táncsport Egyesület,par.php?id=3183
99,Barócsi József - Markovits Kitti,Danza Táncsport Egyesület,par.php?id=4481
100,Kovács András - Nagy Alexandra,SZIGO Kulturális Táncsport Egyesület,par.php?id=3121
101,Lajos Róbert - Horváth Andrea,Fenomén TáncSport Egyesület - Oktogon Tánccentrum,par.php?id=4656
102,Kalla Máté - Király Bíborka,Ritmo Sporttánc Egyesület,par.php?id=4349
103,Sebestyén Péter - Bencsik Andrea,Fenomén TáncSport Egyesület,par.php?id=4107
104,Juhász Alex - Kőhalmi Luca Virág,Cit-Car Táncsport Egyesület,par.php?id=3608
105,Alexandru Boariu - Beatrice Bochis-Mutiu,Romania,par.php?id=2751
106,Raffai Róbert Balázs - Pataki Noémi,Forma Táncsport Egyesület,par.php?id=2154
107,Bánáti Barnabás - Bohn Lorin,Pro-Art Táncstúdió,par.php?id=1772
108,Bánáti Marcell - Farkas Noémi,"Pro-Art Táncstúdió - iDanceStudio Kulturális, Táncművészeti és SE",par.php?id=1891
109,Werner Viktor - Godó Anna,Dream Dance Tánc Sportegyesület,par.php?id=239
110,Tóth Krisztián - Kanizsai Lili,Perfect Dance TSE,par.php?id=444
111,Draskovics Gergő - Fock Dorottya Éva,Ritmo Sporttánc Egyesület,par.php?id=1036
112,Gehl Szabolcs - Szabó Karolina Veronika,Happy Dance Táncsport Egyesület,par.php?id=2319
113,Draskovics Dániel - Varga Bianka,Ritmo Sporttánc Egyesület,par.php?id=1774
114,Kovács Péter Benedek - Kovács Kíra,Ritmo Sporttánc Egyesület,par.php?id=1035
115,Rumszauer Balázs - Dobra Viktória,Ritmo Sporttánc Egyesület,par.php?id=1618
116,Vajjon Bence - Bulyáki Lili,Szilver Táncsport Egyesület,par.php?id=4924
117,Szőts Dávid - Cseke Krisztina,Szilver Táncsport Egyesület,par.php?id=5324
118,Andrucsák Krisztián József - Kiss Eliza,Forma Táncsport Egyesület - Szilver Táncsport Egyesület,par.php?id=6069
119,Pótár-Bóta Zalán - Bata Indira Zoé,Szilver Táncsport Egyesület,par.php?id=5442
120,Müller Balázs - Jáger Laura,Eraklin Táncklub Egyesület,par.php?id=1033
121,Hegedűs Bálint Ervin - Lipcsei Laura,Papiron Szeged Versenytáncklub Egyesület - Szilver Táncsport Egyesület,par.php?id=6089
